schedule_detail_id,content_tape_detail_id,content_tape_id,segment_no,tape_duration_sec,break_sec,promo_sec
70317,7135.0,2035.0,7.0,725.0,420.0,0
70317,7136.0,2035.0,8.0,798.0,420.0,0
70317,7137.0,2035.0,9.0,785.0,0.0,0
70317,7138.0,2035.0,10.0,830.0,420.0,0
70317,7129.0,2035.0,1.0,824.0,0.0,0
70317,7130.0,2035.0,2.0,730.0,420.0,0
70317,7131.0,2035.0,3.0,721.0,0.0,0
70318,42099.0,13173.0,1.0,686.0,420.0,0
70318,42100.0,13173.0,2.0,689.0,420.0,0
70318,42101.0,13173.0,3.0,772.0,0.0,0
70318,42102.0,13173.0,4.0,738.0,420.0,0
70318,42103.0,13173.0,5.0,559.0,0.0,0
70318,42104.0,13173.0,6.0,725.0,0.0,0
70318,42105.0,13173.0,7.0,678.0,420.0,0
70318,42106.0,13173.0,8.0,776.0,0.0,0
70318,42107.0,13173.0,9.0,733.0,0.0,0
70318,42108.0,13173.0,10.0,805.0,420.0,0
70318,42109.0,13173.0,11.0,725.0,420.0,0
70318,42110.0,13173.0,12.0,726.0,98.0,0
70326,32011.0,10252.0,1.0,667.04,0.0,0
70326,32012.0,10252.0,2.0,711.0,413.0,0
70326,32013.0,10252.0,3.0,571.24,0.0,0
70326,32014.0,10252.0,4.0,678.44,413.0,0
70326,32015.0,10252.0,5.0,668.12,0.0,0
70326,32016.0,10252.0,6.0,827.08,0.0,0
70326,32017.0,10252.0,7.0,674.44,420.0,0
70326,32018.0,10252.0,8.0,633.2,420.0,0
70326,32019.0,10252.0,9.0,636.36,189.0,0
70326,32020.0,10252.0,10.0,648.96,189.0,0
70320,106.0,52.0,1.0,873.0,0.0,0
70320,107.0,52.0,2.0,845.08,420.0,0
70320,108.0,52.0,3.0,823.76,420.0,0
70320,109.0,52.0,4.0,873.28,420.0,0
70320,110.0,52.0,5.0,874.4,420.0,0
70320,111.0,52.0,6.0,789.36,0.0,0
70320,112.0,52.0,1.0,956.0,420.0,0
70320,113.0,52.0,2.0,718.0,0.0,0
70320,114.0,52.0,3.0,764.72,420.0,0
70320,115.0,52.0,4.0,714.88,0.0,0
70320,116.0,52.0,5.0,762.56,175.00000000000003,0
70320,117.0,52.0,6.0,512.08,175.00000000000003,0
70321,267.0,106.0,1.0,678.96,245.00000000000003,0
70321,268.0,106.0,2.0,706.96,245.00000000000003,0
70321,269.0,106.0,3.0,769.96,420.0,0
70321,270.0,106.0,4.0,740.96,420.0,0
70321,271.0,106.0,5.0,722.96,0.0,0
70321,272.0,106.0,6.0,760.96,420.0,0
70321,273.0,106.0,7.0,712.96,420.0,0
70321,274.0,106.0,8.0,801.96,0.0,0
70321,275.0,106.0,9.0,640.96,0.0,0
70321,276.0,106.0,10.0,633.96,14.0,0
70322,20800.0,6119.0,3.0,944.36,413.0,0
70322,20801.0,6119.0,4.0,905.92,413.0,0
70322,20802.0,6119.0,5.0,899.56,420.0,0
70322,20803.0,6119.0,6.0,852.4,420.0,0
70322,20804.0,6119.0,7.0,898.52,0.0,0
70322,20805.0,6119.0,8.0,880.44,0.0,0
70322,20806.0,6119.0,9.0,852.52,371.0,0
70322,20798.0,6119.0,1.0,858.56,0.0,0
70322,20799.0,6119.0,2.0,842.4,371.0,0
70323,21523.0,6337.0,1.0,734.96,0.0,0
70323,21524.0,6337.0,2.0,710.96,420.0,0
70323,21525.0,6337.0,3.0,672.96,420.0,0
70323,21526.0,6337.0,4.0,671.96,0.0,0
70323,21527.0,6337.0,5.0,758.96,0.0,0
70323,21528.0,6337.0,6.0,683.96,0.0,0
70323,21529.0,6337.0,7.0,701.96,420.0,0
70323,21530.0,6337.0,8.0,641.96,420.0,0
70323,21531.0,6337.0,9.0,625.96,343.0,0
70323,21532.0,6337.0,10.0,580.96,0.0,0
70323,21533.0,6337.0,11.0,719.96,98.0,0
70323,21534.0,6337.0,12.0,557.96,343.0,0
70324,15353.0,4526.0,1.0,751.96,0.0,0
70324,15354.0,4526.0,2.0,688.96,420.0,0
70324,15355.0,4526.0,3.0,730.96,420.0,0
70324,15356.0,4526.0,4.0,706.96,0.0,0
70324,15357.0,4526.0,5.0,619.96,0.0,0
